Nama_Bahan,Energi (kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),BDD ( 100% ),Mentahan / Olahan,Kelompok Makanan,Jenis Makanan
"Ikan keru-keru, segar",0.09507829977628636,0.2220726783310902,0.021,0.00851063829787234,0.0,55,Tunggal,Ikan dsb,Lauk
"Ikan kima, segar",0.06935123042505593,0.14535666218035,0.006999999999999999,0.05531914893617022,0.0,-,Tunggal,Ikan dsb,Lauk
Ikan Lais bakar,0.1554809843400447,0.2355316285329744,0.065,0.0574468085106383,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan lais, segar",0.1711409395973154,0.1601615074024226,0.115,0.02553191489361702,0.0,62,Tunggal,Ikan dsb,Lauk
"Ikan layang, segar",0.1129753914988814,0.2960969044414536,0.017,0.0,0.0,80,Tunggal,Ikan dsb,Lauk
"Ikan layur, segar",0.08277404921700224,0.2422611036339166,0.01,0.00425531914893617,0.0,49,Tunggal,Ikan dsb,Lauk
"Ikan lehoma, segar",0.09172259507829977,0.2745625841184388,0.009000000000000001,0.0,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan lemuru, segar",0.116331096196868,0.2691790040376851,0.03,0.0,0.0,80,Tunggal,Ikan dsb,Lauk
"Ikan lidah, segar",0.1073825503355705,0.2099596231493943,0.032,0.02127659574468085,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan lomak asin, mentah",0.279642058165548,0.5423956931359354,0.023,0.201063829787234,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan malalugis, segar",0.1017897091722595,0.2772543741588157,0.014,0.009574468085106383,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan mamar merah, segar",0.1196868008948546,0.2059219380888291,0.04,0.04680851063829788,0.0,-,Tunggal,Ikan dsb,Lauk
Ikan Mas pepes,0.2248322147651007,0.2045760430686406,0.113,0.125531914893617,0.01075268817204301,100,Olahan,Ikan dsb,Lauk
"Ikan mas, segar",0.087248322147651,0.2153432032301481,0.02,0.0,0.0,80,Tunggal,Ikan dsb,Lauk
"Ikan mayong, segar",0.09955257270693513,0.2409152086137281,0.02,0.00425531914893617,0.0,89,Tunggal,Ikan dsb,Lauk
Ikan mujahir goreng,0.4563758389261744,0.6312247644683715,0.239,0.0,0.0,100,Olahan,Ikan dsb,Lauk
Ikan Mujahir pepes,0.1263982102908277,0.2920592193808883,0.028,0.00851063829787234,0.0,100,Olahan,Ikan dsb,Lauk
"Ikan mujahir, dendeng, mentah",0.6420581655480984,0.9192462987886945,0.152,0.3957446808510638,0.0,100,Olahan,Ikan dsb,Lauk
"Ikan mujahir, segar",0.09060402684563759,0.2516823687752355,0.01,0.0,0.0,80,Tunggal,Ikan dsb,Lauk
"Ikan nasu metti, segar",0.1633109619686801,0.2261103633916555,0.05,0.1117021276595745,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan oci, kembung, segar",0.1308724832214765,0.2866756393001346,0.034,0.02340425531914894,0.0,80,Tunggal,Ikan dsb,Lauk
"Ikan paling, segar",0.3299776286353467,0.1884253028263795,0.27,0.0,0.0,100,Tunggal,Ikan dsb,Lauk
"Ikan Papuyu, bakar",0.1610738255033557,0.2368775235531629,0.061,0.07127659574468086,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan papuyu/ betok, segar",0.1252796420581656,0.1924629878869448,0.049,0.04893617021276595,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan Patin, bakar",0.1521252796420582,0.2355316285329744,0.063,0.04574468085106383,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan Patin, segar",0.1387024608501119,0.2288021534320323,0.066,0.01170212765957447,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan peda banjar, mentah",0.1655480984340045,0.3768506056527591,0.04,0.02127659574468085,0.0,90,Olahan,Ikan dsb,Lauk
"Ikan pepetek, mentah",0.1879194630872483,0.4306864064602961,0.044,0.02127659574468085,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan Pindang banjar, mentah",0.1666666666666667,0.3768506056527591,0.042,0.01914893617021277,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan Pindang benggol, mentah",0.1812080536912752,0.4172274562584118,0.042,0.0,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan Pindang layang, mentah",0.1621923937360179,0.4037685060565276,0.028,0.0,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan Pindang selar, mentah",0.1498881431767338,0.3633916554508748,0.03,0.0,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan pomo, segar",0.1554809843400447,0.3028263795423957,0.052,0.02765957446808511,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan Puntin, segar",0.07606263982102908,0.1938088829071332,0.011,0.02340425531914894,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan sale lais, mentah",0.4552572706935123,0.8250336473755047,0.176,0.03085106382978723,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan Sale, segar",0.5883668903803132,0.541049798115747,0.393,0.05212765957446809,0.04301075268817205,100,Tunggal,Ikan dsb,Lauk
"Ikan saluang, kering, mentah",0.308724832214765,0.4589502018842531,0.099,0.1553191489361702,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan saluang, segar",0.1174496644295302,0.1870794078061911,0.049,0.03617021276595744,0.0,89,Tunggal,Ikan dsb,Lauk
"Ikan sanggang, masakan",0.2595078299776286,0.2920592193808883,0.077,0.2202127659574468,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan sarden, segar",0.1129753914988814,0.2678331090174966,0.018,0.03617021276595744,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan selar kuning, cue, mentah",0.145413870246085,0.3633916554508748,0.033,0.0,0.0,90,Olahan,Ikan dsb,Lauk
"Ikan selar, kering, mentah",0.2080536912751678,0.5114401076716016,0.035,0.0,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan selar, segar",0.1029082774049217,0.253028263795424,0.022,0.0,0.0,48,Tunggal,Ikan dsb,Lauk
"Ikan sepat, kering, mentah",0.314317673378076,0.5114401076716016,0.14,0.0,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan sepat, segar",0.08501118568232663,0.2045760430686406,0.006,0.05,0.0,75,Tunggal,Ikan dsb,Lauk
"Ikan sidat, segar",0.08165548098434004,0.1534320323014805,0.019,0.04042553191489361,0.0,100,Tunggal,Ikan dsb,Lauk
"Ikan sunu, asin, mentah",0.2136465324384788,0.4589502018842531,0.038,0.07553191489361702,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan sunu, segar",0.1152125279642058,0.1790040376850606,0.034,0.07127659574468086,0.0,70,Tunggal,Ikan dsb,Lauk
"Ikan tahuman, segar",0.0894854586129754,0.2139973082099596,0.009000000000000001,0.04361702127659574,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan tarmon, segar",0.09843400447427293,0.2624495289367429,0.011,0.02127659574468085,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan telan, segar",0.09731543624161074,0.2126514131897712,0.006999999999999999,0.06914893617021277,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan tembang, segar",0.2192393736017897,0.2153432032301481,0.15,0.0,0.0,80,Tunggal,Ikan dsb,Lauk
"Ikan tempahas, segar",0.1040268456375839,0.2032301480484522,0.04099999999999999,0.01063829787234043,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan terbang, segar",0.1006711409395973,0.2637954239569314,0.017,0.01063829787234043,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan Teri nasi, kering, mentah",0.1521252796420582,0.4374158815612382,0.006,0.0,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan Teri, bubuk, mentah",0.3008948545861297,0.8075370121130552,0.023,0.01914893617021277,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan teri, kering, mentah",0.1812080536912752,0.449528936742934,0.03,0.0,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan Teri, kering, tawar, mentah",0.3612975391498881,0.9246298788694483,0.042,0.0,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan teri, segar",0.0738255033557047,0.1386271870794078,0.014,0.04361702127659574,0.0,100,Tunggal,Ikan dsb,Lauk
"Ikan Teri, tepung, mentah",0.3791946308724832,0.6567967698519516,0.064,0.2085106382978724,0.0,-,Olahan,Ikan dsb,Lauk
"Ikan titang, segar",0.08277404921700224,0.234185733512786,0.004,0.02446808510638298,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan tongkol, segar",0.1029082774049217,0.1843876177658142,0.015,0.0851063829787234,0.0,100,Tunggal,Ikan dsb,Lauk
"Ikan turi, segar",0.09843400447427293,0.2584118438761777,0.02,0.002127659574468085,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan, cakalang, segar",0.1107382550335571,0.2637954239569314,0.006999999999999999,0.05851063829787234,0.0,-,Tunggal,Ikan dsb,Lauk
"Ikan, tepung, mentah",0.3445190156599552,0.8088829071332436,0.065,0.2382978723404255,0.0,-,Olahan,Ikan dsb,Lauk
Jambal goreng,0.3109619686800895,0.6527590847913862,0.092,0.02446808510638298,0.0,-,Olahan,Ikan dsb,Lauk
"Jukku pallu kaloa, masakan",0.007829977628635347,0.2045760430686406,0.043,0.09361702127659575,0.0,-,Olahan,Ikan dsb,Lauk
"Kaholeo, masakan",0.4530201342281879,0.386271870794078,0.198,0.3170212765957447,0.0,-,Olahan,Ikan dsb,Lauk
"Keong, segar",0.06263982102908278,0.161507402422611,0.01,0.02127659574468085,0.0,46,Tunggal,Ikan dsb,Lauk
"Kepiting, segar",0.1599552572706935,0.1857335127860027,0.038,0.15,0.0,45,Tunggal,Ikan dsb,Lauk
"Kerang, asap, mentah",0.430648769574944,0.5235531628532974,0.133,0.3127659574468085,0.0,100,Olahan,Ikan dsb,Lauk
"Kerang, dendeng, mentah",0.3903803131991051,0.5531628532974429,0.1,0.2723404255319149,0.0,100,Olahan,Ikan dsb,Lauk
"Kerang, segar",0.1040268456375839,0.1938088829071332,0.026,0.04148936170212766,0.0,100,Tunggal,Ikan dsb,Lauk
"Kodok, segar",0.07270693512304251,0.2207267833109017,0.003,0.0,0.0,65,Tunggal,Ikan dsb,Lauk
"Kura-kura, segar",0.08389261744966443,0.2570659488559893,0.002,0.0,0.0,70,Tunggal,Ikan dsb,Lauk
"Kuro, segar",0.0883668903803132,0.2153432032301481,0.022,0.01063829787234043,0.0,52,Tunggal,Ikan dsb,Lauk
"Lawara penjah, masakan",0.2225950782997763,0.09959623149394348,0.154,0.1021276595744681,0.0,100,Olahan,Ikan dsb,Lauk
"Lokan, segar",0.2337807606263982,0.1480484522207268,0.017,0.05425531914893617,0.0,-,Tunggal,Ikan dsb,Lauk
"Model, masakan",0.07941834451901567,0.02960969044414536,0.04,0.09148936170212765,0.0,-,Olahan,Ikan dsb,Lauk
"Mujahir acar kuning, masakan",0.3601789709172259,0.2395693135935397,0.234,0.1287234042553191,0.02365591397849463,-,Olahan,Ikan dsb,Lauk
"Parede baleh, masakan",0.0883668903803132,0.1413189771197847,0.025,0.05851063829787234,0.0,-,Olahan,Ikan dsb,Lauk
Pempek adaan,0.1722595078299776,0.06594885598923285,0.03,0.2957446808510638,0.0,-,Olahan,Ikan dsb,Lauk
Pempek belida,0.1655480984340045,0.05652759084791387,0.014,0.3361702127659574,0.004301075268817205,-,Olahan,Ikan dsb,Lauk
Pempek kapal selam,0.1610738255033557,0.06056527590847914,0.023,0.3,0.0,-,Olahan,Ikan dsb,Lauk
Pempek kelesan,0.227069351230425,0.1655450874831763,0.061,0.2829787234042553,0.00860215053763441,-,Olahan,Ikan dsb,Lauk
Pempek kulit,0.2628635346756152,0.06998654104979812,0.073,0.4159574468085107,0.0,-,Olahan,Ikan dsb,Lauk
Pempek telur,0.1655480984340045,0.063257065948856,0.027,0.3010638297872341,0.0,-,Olahan,Ikan dsb,Lauk
Pempek tenggiri,0.1845637583892618,0.09690444145356662,0.012,0.3553191489361702,0.004301075268817205,-,Olahan,Ikan dsb,Lauk
"Pencok lele, masakan",0.407158836689038,0.1049798115746972,0.363,0.03723404255319149,0.0,-,Olahan,Ikan dsb,Lauk
"Pinda, masakan",0.1107382550335571,0.2139973082099596,0.006,0.00425531914893617,0.0,-,Olahan,Ikan dsb,Lauk
"Pindang kenari, masakan",0.1297539149888143,0.1278600269179004,0.096,0.0,0.0,-,Olahan,Ikan dsb,Lauk
"Rajungan, segar",0.07606263982102908,0.1628532974427995,0.02,0.02553191489361702,0.0,-,Tunggal,Ikan dsb,Lauk
"Rebon, kering, mentah",0.325503355704698,0.7994616419919246,0.036,0.03404255319148936,0.0,-,Olahan,Ikan dsb,Lauk
"Rebon, udang kecil, segar",0.08165548098434004,0.2180349932705249,0.012,0.007446808510638297,0.0,100,Tunggal,Ikan dsb,Lauk
"Rebung laut, mentah",0.348993288590604,0.09690444145356662,0.042,0.6734042553191489,0.0,-,Olahan,Ikan dsb,Lauk
Rusip,0.1140939597315436,0.1547779273216689,0.02,0.124468085106383,0.0,100,Olahan,Ikan dsb,Lauk
"Saboko gurita, masakan",0.0883668903803132,0.2113055181695828,0.015,0.02765957446808511,0.0,-,Olahan,Ikan dsb,Lauk
"Saboko saltan, masakan",0.1174496644295302,0.2301480484522208,0.036,0.03191489361702127,0.0,-,Olahan,Ikan dsb,Lauk
"Saboko sardin, masakan",0.1140939597315436,0.1736204576043069,0.043,0.05212765957446809,0.0,-,Olahan,Ikan dsb,Lauk
Sardines dalam kaleng,0.3691275167785235,0.2839838492597578,0.27,0.01063829787234043,0.0,-,Olahan,Ikan dsb,Lauk
Sate Bandeng,0.3076062639821029,0.1628532974427995,0.168,0.2223404255319149,0.04301075268817205,82,Olahan,Ikan dsb,Lauk
"Sepi, masakan",0.0894854586129754,0.1063257065948856,0.016,0.1127659574468085,0.0,-,Olahan,Ikan dsb,Lauk
Tekwan,0.05033557046979865,0.02557200538358008,0.009000000000000001,0.1,0.0,-,Olahan,Ikan dsb,Lauk
"Teri balado, masakan",0.3993288590604027,0.3189771197846568,0.223,0.1861702127659574,0.0,-,Olahan,Ikan dsb,Lauk
"Teripang, dendeng, mentah",0.5078299776286354,0.5262449528936743,0.324,0.03723404255319149,0.0,100,Olahan,Ikan dsb,Lauk
Tumis bandeng,0.2024608501118568,0.1520861372812921,0.157,0.006382978723404255,0.0,-,Olahan,Ikan dsb,Lauk
Tumis keumamah,0.3266219239373602,0.1951547779273217,0.2,0.1648936170212766,0.09677419354838711,100,Olahan,Ikan dsb,Lauk
"Udang galah, segar",0.08165548098434004,0.2220726783310902,0.003,0.03191489361702127,0.0,68,Tunggal,Ikan dsb,Lauk
"Udang kering, mentah",0.3020134228187919,0.8425302826379543,0.04099999999999999,0.02340425531914894,0.0,-,Olahan,Ikan dsb,Lauk
"Udang papay, mentah",0.296420581655481,0.6433378196500673,0.038,0.1329787234042553,0.0,-,Olahan,Ikan dsb,Lauk
"Udang, besar, segar",0.05369127516778524,0.1534320323014805,0.006,0.01276595744680851,0.0,68,Tunggal,Ikan dsb,Lauk
"Udang, segar",0.09284116331096197,0.2826379542395693,0.002,0.001063829787234043,0.0,68,Tunggal,Ikan dsb,Lauk
Ampas kacang hijau,0.09843400447427293,0.04979811574697174,0.006,0.2031914893617021,0.05806451612903227,100,Olahan,Kacang,Lain-lain
Ampas tahu kukus,0.0749440715883669,0.05518169582772543,0.021,0.1138297872340425,0.1096774193548387,100,Olahan,Kacang,Lain-lain
"Ampas tahu, kering",0.4541387024608501,0.3580080753701211,0.183,0.4393617021276595,0.0,100,Olahan,Kacang,Lain-lain
"Ampas tahu, mentah",0.06599552572706935,0.06729475100942127,0.021,0.08617021276595745,0.08817204301075268,100,Olahan,Kacang,Lain-lain
Bungkil biji karet,0.3635346756152125,0.3943472409152086,0.033,0.5319148936170213,0.0,100,Olahan,Kacang,Lain-lain
Bungkil kacang tanah,0.3668903803131991,0.5033647375504711,0.13,0.324468085106383,0.0,100,Olahan,Kacang,Lain-lain
Bungkil kelapa,0.4026845637583892,0.3095558546433378,0.15,0.425531914893617,0.0,100,Olahan,Kacang,Lain-lain
Dodol banjarmasin,0.4026845637583892,0.03499327052489906,0.086,0.7446808510638298,0.01075268817204301,100,Olahan,Kacang,Lain-lain
Emping (kerupuk melinjo),0.3769574944071588,0.161507402422611,0.015,0.7606382978723404,0.0,100,Olahan,Kacang,Lain-lain
Emping komak,0.3881431767337807,0.2395693135935397,0.046,0.6457446808510638,0.0,100,Olahan,Kacang,Lain-lain
Enting-enting gepuk hello kity,0.5928411633109619,0.1830417227456258,0.303,0.5595744680851064,0.004301075268817205,100,Olahan,Kacang,Lain-lain
Enting-enting gepuk kacang tanah,0.5771812080536912,0.1790040376850606,0.292,0.5531914893617021,0.004301075268817205,100,Olahan,Kacang,Lain-lain
Enting-enting wijen,0.6230425055928411,0.2449528936742934,0.384,0.3914893617021276,0.04086021505376344,100,Olahan,Kacang,Lain-lain
Geplak,0.3825503355704697,0.01884253028263795,0.144,0.5702127659574469,0.03870967741935484,100,Olahan,Kacang,Lain-lain
Geplak jahe,0.5078299776286354,0.04172274562584118,0.244,0.6138297872340426,0.07096774193548387,100,Olahan,Kacang,Lain-lain
"Kacang arab, kering",0.3601789709172259,0.3203230148048452,0.014,0.6404255319148936,0.3741935483870968,100,Tunggal,Kacang,Lain-lain
Kacang atom,0.587248322147651,0.3741588156123822,0.381,0.3063829787234043,0.05376344086021506,100,Olahan,Kacang,Lain-lain
"Kacang babi, kering",0.37248322147651,0.4091520861372813,0.032,0.5457446808510638,0.09677419354838711,80,Tunggal,Kacang,Lain-lain
"Kacang belimbing (kecipir), kering",0.4384787472035794,0.4629878869448183,0.169,0.3627659574468085,0.2301075268817204,100,Tunggal,Kacang,Lain-lain
"Kacang belimbing (kecipir), rebus",0.2192393736017897,0.2274562584118439,0.08800000000000001,0.1861702127659574,0.1032258064516129,100,Olahan,Kacang,Lain-lain
"Kacang beracun, segar",0.1230425055928412,0.05921938088829072,0.015,0.2297872340425532,0.0,-,Tunggal,Kacang,Lain-lain
"Kacang bogor, goreng",0.5268456375838926,0.17092866756393,0.232,0.626595744680851,0.02580645161290323,35,Olahan,Kacang,Lain-lain
"Kacang bogor, kering",0.4049217002237136,0.2153432032301481,0.06,0.6914893617021276,0.5655913978494624,100,Tunggal,Kacang,Lain-lain
"Kacang bogor, rebus",0.1711409395973154,0.1036339165545088,0.028,0.2882978723404255,0.04301075268817205,35,Olahan,Kacang,Lain-lain
"Kacang bogor, segar",0.1756152125279642,0.1036339165545088,0.031,0.2914893617021276,0.05376344086021506,100,Tunggal,Kacang,Lain-lain
"Kacang endel, biji, kering",0.3612975391498881,0.3364737550471063,0.01,0.6170212765957447,0.5075268817204301,95,Tunggal,Kacang,Lain-lain
"Kacang ercis, segar",0.1353467561521253,0.1668909825033647,0.006999999999999999,0.1946808510638298,0.6150537634408603,45,Tunggal,Kacang,Lain-lain
"Kacang galing, segar",0.3668903803131991,0.3109017496635263,0.017,0.6329787234042553,0.0,95,Tunggal,Kacang,Lain-lain
Kacang goyang,0.5682326621923937,0.1978465679676985,0.311,0.4723404255319149,0.0,100,Olahan,Kacang,Lain-lain
"Kacang gude, biji, kering",0.3445190156599552,0.278600269179004,0.01,0.6170212765957447,0.0989247311827957,100,Tunggal,Kacang,Lain-lain
"Kacang gude, biji, segar",0.1185682326621924,0.09421265141318977,0.006,0.2212765957446809,0.0946236559139785,100,Tunggal,Kacang,Lain-lain
"Kacang gude, rebus",0.1554809843400447,0.1211305518169583,0.005,0.2925531914893617,0.07311827956989247,100,Olahan,Kacang,Lain-lain
"Kacang hijau var. bakti, kering",0.3825503355704697,0.2301480484522208,0.018,0.7521276595744681,0.1225806451612903,100,Tunggal,Kacang,Lain-lain
"Kacang hijau var. siwalik, kering",0.3702460850111857,0.2799461641991925,0.021,0.6872340425531914,0.1591397849462366,100,Tunggal,Kacang,Lain-lain
"Kacang hijau, kering",0.3523489932885906,0.3082099596231494,0.015,0.6042553191489362,0.1612903225806452,100,Tunggal,Kacang,Lain-lain
"Kacang hijau, rebus",0.1129753914988814,0.117092866756393,0.005,0.1946808510638298,0.03225806451612903,100,Olahan,Kacang,Lain-lain
"Kacang hitam, kering",0.378076062639821,0.2234185733512786,0.017,0.7031914893617021,0.4903225806451613,100,Tunggal,Kacang,Lain-lain
"Kacang kapri, segar",0.1006711409395973,0.0901749663526245,0.004,0.1882978723404255,0.1333333333333334,45,Tunggal,Kacang,Lain-lain
"Kacang kedelai, goreng",0.5738255033557047,0.433378196500673,0.3770000000000001,0.2436170212765957,0.1634408602150538,100,Olahan,Kacang,Lain-lain
"Kacang kedelai, kering",0.4172259507829977,0.5437415881561238,0.167,0.2648936170212766,0.06881720430107528,100,Tunggal,Kacang,Lain-lain
"Kacang kedelai, rebus",0.2024608501118568,0.2718707940780619,0.08199999999999999,0.1351063829787234,0.03440860215053764,100,Olahan,Kacang,Lain-lain
"Kacang kedelai, segar",0.3109619686800895,0.4064602960969044,0.156,0.3202127659574468,0.0,100,Tunggal,Kacang,Lain-lain
"Kacang kincai, kering",0.4876957494407159,0.2678331090174966,0.16,0.5851063829787234,0.0,-,Tunggal,Kacang,Lain-lain
"Kacang komak, segar",0.3568232662192393,0.2207267833109017,0.043,0.5936170212765957,0.01075268817204301,45,Tunggal,Kacang,Lain-lain
"Kacang kuning, kering",0.3881431767337807,0.2288021534320323,0.025,0.7021276595744681,0.324731182795699,-,Tunggal,Kacang,Lain-lain
"Kacang lebui /iris, kering",0.378076062639821,0.2220726783310902,0.015,0.7085106382978723,0.8021505376344086,100,Tunggal,Kacang,Lain-lain
"Kacang mentega, kering",0.3758389261744966,0.224764468371467,0.021,0.6872340425531914,0.2795698924731183,-,Tunggal,Kacang,Lain-lain
"Kacang merah kering, rebus",0.1677852348993289,0.1386271870794078,0.009000000000000001,0.3,0.05591397849462366,100,Olahan,Kacang,Lain-lain
"Kacang merah segar, rebus",0.1521252796420582,0.1345895020188425,0.01,0.2627659574468085,0.07526881720430108,100,Olahan,Kacang,Lain-lain
"Kacang merah tua, kering",0.3042505592841163,0.224764468371467,0.016,0.6723404255319149,0.0989247311827957,100,Tunggal,Kacang,Lain-lain
"Kacang merah, kering",0.3422818791946308,0.297442799461642,0.011,0.597872340425532,0.08602150537634409,100,Tunggal,Kacang,Lain-lain
"Kacang merah, segar",0.1823266219239374,0.1480484522207268,0.022,0.2978723404255319,0.04516129032258065,100,Tunggal,Kacang,Lain-lain
"Kacang merah/banda, kering",0.3825503355704697,0.1870794078061911,0.03,0.7117021276595745,0.5655913978494624,100,Tunggal,Kacang,Lain-lain
"Kacang mete/biji jambu monyet, goreng",0.6946308724832214,0.2745625841184388,0.563,0.2106382978723404,0.02365591397849463,100,Olahan,Kacang,Lain-lain
"Kacang mete/biji jambu monyet, segar",0.6800894854586129,0.2193808882907133,0.484,0.3053191489361702,0.01935483870967742,69,Tunggal,Kacang,Lain-lain
Kacang negara,0.5279642058165548,0.2476446837146702,0.191,0.6223404255319149,0.2516129032258065,100,Olahan,Kacang,Lain-lain
"Kacang panjang, biji, kering",0.3903803131991051,0.2328398384925976,0.015,0.7297872340425531,0.2279569892473118,100,Tunggal,Kacang,Lain-lain
Kacang sukro,0.5324384787472035,0.1184387617765814,0.261,0.6138297872340426,0.03870967741935484,100,Olahan,Kacang,Lain-lain
Kacang tanah rebus dg kulit,0.3937360178970917,0.1816958277254374,0.312,0.1361702127659574,0.0,43,Olahan,Kacang,Lain-lain
Kacang tanah sangan,0.6174496644295302,0.3970390309555855,0.43,0.2563829787234043,0.06236559139784947,100,Tunggal,Kacang,Lain-lain
Kacang tanah sangan tanpa selaput,0.616331096196868,0.3620457604306864,0.4420000000000001,0.2510638297872341,0.05591397849462366,100,Tunggal,Kacang,Lain-lain
Kacang tanah sari,0.6185682326621924,0.3432032301480484,0.438,0.2765957446808511,0.04731182795698925,100,Olahan,Kacang,Lain-lain
"Kacang tanah, goreng",0.6219239373601789,0.3432032301480484,0.444,0.2712765957446808,0.06021505376344086,100,Olahan,Kacang,Lain-lain
"Kacang tanah, kering",0.5782997762863534,0.3755047106325706,0.427,0.1851063829787234,0.05161290322580645,100,Tunggal,Kacang,Lain-lain
"Kacang tanah, rebus",0.2371364653243848,0.1426648721399731,0.18,0.0851063829787234,0.02150537634408602,100,Olahan,Kacang,Lain-lain
"Kacang tolo / tunggak, kering",0.3612975391498881,0.3283983849259758,0.019,0.6021276595744681,0.03440860215053764,100,Tunggal,Kacang,Lain-lain
"Kacang tolo / tunggak, rebus",0.145413870246085,0.1440107671601615,0.011,0.2404255319148936,0.01935483870967742,100,Olahan,Kacang,Lain-lain
"Kacang tunis, kering",0.383668903803132,0.1641991924629879,0.012,0.7755319148936171,0.6344086021505377,100,Tunggal,Kacang,Lain-lain
"Kacang uci, kering",0.3914988814317673,0.3149394347240915,0.024,0.6446808510638298,0.1591397849462366,100,Tunggal,Kacang,Lain-lain
"Kacang urei, kering",0.3870246085011185,0.1722745625841184,0.018,0.7372340425531915,0.5612903225806453,-,Tunggal,Kacang,Lain-lain
Keju kacang tanah (peanut butter),0.6510067114093959,0.3633916554508748,0.49,0.2223404255319149,0.03440860215053764,100,Olahan,Kacang,Lain-lain
Kembang tahu,0.4161073825503355,0.6581426648721399,0.138,0.2478723404255319,0.0,100,Olahan,Kacang,Lain-lain
Kembang tahu rebus,0.09172259507829977,0.1440107671601615,0.04,0.05,0.0,100,Olahan,Kacang,Lain-lain
"Kenari banda, kering",0.6800894854586129,0.1870794078061911,0.562,0.1457446808510638,0.0,100,Tunggal,Kacang,Lain-lain
"Kenari, kering",0.7259507829977628,0.2018842530282638,0.66,0.1382978723404255,0.0,100,Tunggal,Kacang,Lain-lain
Keripik oncom,0.6599552572706935,0.1117092866756393,0.438,0.4531914893617021,0.07096774193548387,100,Olahan,Kacang,Lain-lain
Keripik tempe,0.6409395973154361,0.1628532974427995,0.406,0.4436170212765957,0.04731182795698925,100,Olahan,Kacang,Lain-lain
Keripik tempe abadi besar,0.6129753914988814,0.2126514131897712,0.371,0.4234042553191489,0.07526881720430108,100,Olahan,Kacang,Lain-lain
Keripik tempe abadi murni,0.5973154362416107,0.5423956931359354,0.424,0.1234042553191489,0.04731182795698925,100,Olahan,Kacang,Lain-lain
Keripik tempe abadi prima,0.5950782997762863,0.224764468371467,0.339,0.4468085106382979,0.04731182795698925,100,Olahan,Kacang,Lain-lain
Keripik tempe abadi sedang,0.5615212527964205,0.1655450874831763,0.279,0.5574468085106382,0.07741935483870968,100,Olahan,Kacang,Lain-lain
Keripik tempe abadi telur,0.5827740492170022,0.2799461641991925,0.317,0.4276595744680851,0.06451612903225806,100,Olahan,Kacang,Lain-lain
"Komak polong, segar",0.1017897091722595,0.04441453566621803,0.001,0.225531914893617,0.221505376344086,100,Tunggal,Kacang,Lain-lain
"Koro andong, kering",0.3892617449664429,0.2759084791386272,0.04099999999999999,0.6553191489361702,0.1505376344086022,100,Tunggal,Kacang,Lain-lain
"Koro benguk, biji, kering",0.3624161073825503,0.323014804845222,0.03,0.5851063829787234,0.1204301075268817,95,Tunggal,Kacang,Lain-lain
"Koro kerupuk, biji, segar",0.1308724832214765,0.1117092866756393,0.006999999999999999,0.2351063829787234,0.04731182795698925,68,Tunggal,Kacang,Lain-lain
"Koro loke, biji, segar",0.02796420581655481,0.03633916554508749,0.002,0.08404255319148936,0.07526881720430108,95,Tunggal,Kacang,Lain-lain
"Koro roay, kering",0.3758389261744966,0.1682368775235532,0.021,0.7382978723404255,0.1612903225806452,100,Tunggal,Kacang,Lain-lain
"Koro wedus, biji, kering",0.3691275167785235,0.2987886944818304,0.015,0.648936170212766,0.1247311827956989,100,Tunggal,Kacang,Lain-lain
